"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"755",1301,"Mountains of Southeast Vancouver Island","KBA",NA,NA,5,0.294998598585944,0.524709241788777,0.855191130152804,0.566199304411089,0.352092058833771,0.953221695828896
"768",954,"Mussellshell Sage-steppe","KBA",NA,NA,5,0.189481349672844,0.0379806067496541,0.794022143745166,0.435450081226203,0.528861672956752,0.0370549156669389
"772",450,"Nááts'Ihch'Oh National Park Reserve Of Canada",NA,1,"II",5,0.0916337812865061,0.981981145550534,0.71663418333609,0.606208077005582,0.259325118413455,0.117298840349931
"773",447,"Nahanni National Park Reserve Of Canada",NA,1,"II",5,0.116680263041261,0.978076792908454,0.666579428175454,0.606420173326927,0.787171792806125,0.205314480084246
"793",457,"Neah Conservancy",NA,1,"II",5,0.106783438213762,0.953984023913806,0.680229307545827,0.615408215380094,0.0425669784730378,0.28623595249109
"796",90,"Nellie Juan-College Fiord",NA,1,"Ib",5,0.118247988556317,0.913969972634887,0.699636370891913,0.610714625925029,0.430171640385266,0.160990923028563
"803",158,"Ni'iinlii Njik (Fishing Branch)",NA,1,"Ib",5,0.0848679241958525,0.981735506594403,0.739736901656674,0.606208077005582,0.276847078130724,0.126821711545391
"809",1000,"NM Lesser-Prairie Chicken Complex","KBA",NA,NA,5,0.278728866959776,0.251603748033588,0.737629610978396,0.337039702214118,0.320028883210939,0.0163441727316144
"810",102,"Noatak",NA,1,"Ib",5,0.0872172905561907,0.98246948931849,0.765082649818431,0.606208077005582,0.714794621545985,0.12041390116291
"814",975,"North Arm, Great Slave Lake","KBA",NA,NA,5,0.0812875902977128,0.918910049629683,0.327120462729875,0.606208077005582,0.12511929192568,0.131807066160026
"819",940,"North Valley Grasslands","KBA",NA,NA,5,0.193140202938044,0.032203099544203,0.825548529847391,0.852659035628916,0.192039737148231,0.0245661208402328
"825",989,"Northeast James Bay Coast","KBA",NA,NA,5,0.060596511635724,0.914760810335369,0.177404919911557,0.613024729050737,0.146506969909689,0.102809097851078
"831",152,"Northern Rocky Mountains Park",NA,1,"Ib",5,0.119492378594385,0.968586849793281,0.622051901201686,0.632995837189261,0.348826511461035,0.290893204235008
"834",987,"Northwestern Brodeur Peninsula","KBA",NA,NA,5,0.0117945140020282,0.981670932612532,0.648176957141501,0.606208077005582,0.077126741576414,NA
"841",141,"Nueltin Lake Provincial Park",NA,1,"Ib",5,0.0660528433445743,0.979304568348002,0.446478298553454,0.613530083885727,0.232985724163708,0.0979516516327789
"843",138,"Numaykoos Lake Provincial Park",NA,1,"Ib",5,0.090037401609157,0.973419684892477,0.425139603863678,0.608365450087524,0.170083550998154,0.104880834444239
"856",517,"Olympic National Park",NA,1,"Not Applicable",5,0.345954354345756,0.592889970544647,0.905978520827091,0.606738798894322,0.176473221901918,1
"860",136,"Opasquia Provincial Park",NA,1,"Ib",5,0.0890401621083039,0.931889997909812,0.436899964866001,0.612381865440984,0.24428387908803,0.20379967699845
"872",925,"Owyhee Uplands","KBA",NA,NA,5,0.215520970973983,0.50911627812412,0.633879539982629,0.235555982648249,0.168405633384118,0.0354784422724935
"874",946,"Ozark National Forest","KBA",NA,NA,5,0.287443054161054,0.24659126998895,0.800632203753934,0.642668483531164,0.219085457853627,0.448947862149061
"881",303,"Parc national Kuururjuaq",NA,1,"II",5,0.0284454167434357,0.97927066366967,0.615053051079823,0.610293993578339,0.228990259780956,0.0921102823955971
"882",329,"Parc national Tursujuq",NA,1,"II",5,0.0460451245938962,0.9783789479493,0.56964742505199,0.608681491281021,0.74538713596132,0.0927438307790043
"883",313,"parc national Ulittaniujalik",NA,1,"II",5,0.0389055892844425,0.981723921352406,0.48907698065933,0.610297664169695,0.281025337881447,0.0750442959653212
"928",103,"Pasayten",NA,1,"Ib",5,0.299683743452827,0.737555276620123,0.644811721692366,0.625601574834375,0.0194924197898799,0.563861327911677
"931",444,"Pauingassi First Nation Traditional Use Planning Area",NA,1,"II",5,0.126908870032647,0.896315552050719,0.592802240239892,0.615566025036713,0.0886229329982495,0.183791479359428
"941",145,"Pink Lake",NA,1,"Ib",5,0.0994335251647241,0.914796477659322,0.343981871242582,0.614576098103394,0.175690948171915,0.159636270471454
"946",63,"Polar Bear Pass National Wildlife Area",NA,1,"Ia",5,0.0180338994884772,0.979409030301835,0.457031623895108,0.606208077005582,0.0788170068643981,NA
"947",137,"Polar Bear Provincial Park",NA,1,"Ib",5,0.0884014613676587,0.971999709741524,0.163934761679328,0.607146603227531,0.711698813755173,0.0798357802047769
"952",947,"Powder/Carter Sage-steppe","KBA",NA,NA,5,0.233988939410792,0.165223562301475,0.732197187507953,0.424391492139247,0.294571448549621,0.0304203124281785
"954",1347,"Pradera de Tokio","KBA",NA,NA,5,0.664481049241616,0.440586760312303,0.715182145848957,0.206063724410314,0.272331263664224,0.043277846215138
"955",467,"Prince Albert National Park Of Canada",NA,1,"II",5,0.149140951656049,0.864043364124416,0.488889039551758,0.771008105153177,0.197034162403279,0.293119393358809
"960",157,"Purcell Wilderness Conservancy Park",NA,1,"Ib",5,0.185553131621543,0.832003264628205,0.557392810947006,0.624147835279582,0,0.636786235310058
"970",978,"Queen Maud Gulf","KBA",NA,NA,5,0.0492207395275843,0.98204243860515,0.302332155126282,0.606208077005582,1,0
"972",135,"Quetico Provincial Park (Wilderness Class)",NA,1,"Ib",5,0.144213417878208,0.770274507727647,0.623784204114835,0.621298432190833,0.248584727192091,0.229079916013208
"973",468,"Quttinirpaaq National Park Of Canada",NA,1,"II",5,0.0106887951955766,0.982080077916372,0.625834822793382,NA,0.854102251277572,NA
"975",322,"Réserve aquatique projetée de la rivière Moisie",NA,1,"II",5,0.124640548140661,0.923180563616627,0.478219939203673,0.615146179145769,0.19590066398373,0.207444890613635
"976",323,"Réserve de biodiversité projetée Albanel-Témiscamie-Otish",NA,1,"II",5,0.112192965940194,0.941196905786636,0.547587163007506,0.617899239645727,0.520511873369117,0.132644481662091
"977",324,"Réserve de biodiversité projetée de la Rivière-Delay",NA,1,"II",5,0.0383953480612866,0.980544158129004,0.478368161336469,0.611903788358331,0.105003251628893,0.10639793609182
"978",326,"Réserve de biodiversité projetée de la Rivière-Vachon",NA,1,"II",5,0.0152869912114462,0.982034060949589,0.543433407260841,0.606236003021226,0.0663795637718623,0
"979",327,"Réserve de biodiversité projetée de la vallée de la rivière Natashquan",NA,1,"II",5,0.0845824056316498,0.943949377359653,0.328026104308214,0.653664131853505,0.210387978002986,0.258180336029191
"980",325,"Réserve de biodiversité projetée des basses collines du lac Guernesé",NA,1,"II",5,0.0669947209921898,0.937447636935144,0.481367649489975,0.634358027357947,0.00559022741388378,0.196830859238938
"981",321,"Réserve de biodiversité projetée du Lac-Sérigny",NA,1,"II",5,0.0409494354758028,0.978019407317343,0.528158807209622,0.612388335272953,0.140151693433379,0.101509140101869
"982",330,"Réserve de biodiversité projetée Paakumshumwaau-Maatuskaau",NA,1,"II",5,0.0600941594346989,0.946281161679596,0.372981604772395,0.613197925671168,0.234514754388518,0.113897899378219
"983",315,"Réserve de parc national Assinica",NA,1,"II",5,0.115031060887425,0.913254120070468,0.467008865768996,0.618881406022635,0.136301101117431,0.144103361694069
