"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"735",836,"Mondulkiri - Kratie Lowlands","KBA",NA,NA,4,0.421412110670662,0.744548072693381,0.777389528356874,0.731273629966881,0.470759258295107,0.303143745734874
"748",1252,"Mount Hilong-hilong","KBA",NA,NA,4,0.664516146919356,0.778035687158658,0.332716840470431,0.924972444479633,0.128283876006328,0.305446963360373
"749",1253,"Mount Kaluayan - Mount Kinabalian Complex","KBA",NA,NA,4,0.832014630311245,0.700783814997288,0.514306855892211,0.803178204991742,0.121583797081805,0.426141254402588
"771",850,"Myinmoletkhat","KBA",NA,NA,4,0.529220032881933,0.893040702136159,0.737024899335529,0.794206720793647,0.727021174088355,0.294815002400949
"776",842,"Nakai-Nam Theun","KBA",NA,NA,4,0.757054809461954,0.871565745091662,0.934249987249677,0.719470131419503,0.237086930618875,0.342026546791959
"778",831,"Nam Et","KBA",NA,NA,4,0.37751244083416,0.912064275495916,0.851755758296653,0.854614697873218,0.185636662238344,0.400464841915231
"779",832,"Nam Ha","KBA",NA,NA,4,0.459511985526888,0.943155369900674,0.604453484521084,0.870849469606392,0.206381776301658,0.333544198334806
"780",847,"Nam San Valley","KBA",NA,NA,4,0.335507629939693,0.941441101368059,0.521646726242081,0.523286558447162,0.213360744744064,0.353414828342746
"781",1303,"Namdapha - Kamlang","KBA",NA,NA,4,0.652986940530812,0.875453822992127,0.614024069660852,0.855311779451264,0.157487903381669,0.509845934652831
"784",672,"Nara Desert Wildlife Sanctuary","KBA",NA,NA,4,0.016605991090768,0.782509944425146,0.600336796205938,0.402356664681755,0.671909683698889,0
"816",1255,"North Eastern Cagayan Protected Landscape and Sea*","KBA",NA,NA,4,0.481443811414449,0.701620235069568,0.485683859205043,0.7496644472467,0.102081819601573,0.367500457212899
"832",1256,"Northern Sierra Madre Natural Park","KBA",NA,NA,4,0.504341358986727,0.74013073485682,0.561394533320035,0.725365865291955,0.359953023095926,0.339651997085733
"870",828,"Outer Indus delta","KBA",NA,NA,4,0.0363502118489717,0.886054326327767,0.365731256277373,0.604934705422711,0.419294214419721,0.00145235224963486
"932",851,"Paunglaung Catchment Area","KBA",NA,NA,4,0.387519148024846,0.711844548121829,0.681171885985258,0.47419741878708,0.157218783912752,0.265844473044837
"957",1337,"Pulau Nias","KBA",NA,NA,4,0.0848001832474207,0.519740333516047,0,0.826332860475194,0.383538469971585,0.406387397668405
"993",674,"Rajiv Ghandi Wildlife Sanctuary (Nagarjunasagar -*","KBA",NA,NA,4,0.144637912844703,0.50027784065161,0.879474420333315,0.516237797290073,0.505748018945707,0.0684664731311911
"995",673,"Rann of Kutch Wildlife Sanctuary","KBA",NA,NA,4,0.0478183139724158,0.884205933028525,0.740757546944567,0.464944918520986,0.855099518690801,0.002021583154522
"998",661,"Rawa di Pesisir Kapuas","KBA",NA,NA,4,0.297434969594569,0.640199490715019,0.447009622473775,0.520202795087722,0.689511243141048,0.548529484809555
"1055",234,"Samar Island",NA,1,"II",4,0.403155606550984,0.759387994450529,0.343506689184064,0.955521143764716,0.445545391006658,0.27731043848717
"1064",662,"Sangkulirang","KBA",NA,NA,4,0.280469828730815,0.804499950694781,0.0758598579016154,0.323873917545678,0.0753247230258624,0.788860031163757
"1072",298,"Sebangau",NA,1,"II",4,0.36314555310762,0.832010685595401,0.706995921694376,0.525789707707029,0.573126291419024,0.622567311236286
"1109",680,"Simlipal National Park","KBA",NA,NA,4,0.186751769856199,0.607209757692011,0.683730507857225,0.657598844907898,0.117518979772285,0.21631610766943
"1116",837,"Snoul / Keo Sema / O Reang","KBA",NA,NA,4,0.508978948077538,0.721423499571991,0.583100385150043,0.572461040766524,0.168455396716708,0.383621429995811
"1130",846,"Southern Cardamoms","KBA",NA,NA,4,0.401468244677434,0.850374688783769,0.6627499399655,0.806216931918166,0.626939091146198,0.504654854975424
"1157",280,"Taman Negara",NA,1,"II",4,0.745187960120358,1,0.803443069419714,0.91596334059234,0.438192732356092,0.689397333591803
"1159",857,"Tanintharyi National Park","KBA",NA,NA,4,0.501593438570658,0.916140626780036,0.739467678363503,0.732596161676383,0.336161309112249,0.318657426069171
"1160",281,"Tanjung Puting",NA,1,"II",4,0.233883364800711,0.858657414976189,0.679042141851752,0.529513369494702,0.393101659134698,0.526210400567756
"1175",245,"Thap Lan",NA,1,"II",4,0.378899615302971,0.709540590514221,0.678821799695549,0.563774846407997,0.0893865994657942,0.474433427449216
"1181",14,"Thungyai Naresuan",NA,1,"Ia",4,0.555647905521858,0.980676544041334,0.706387209821444,0.797605252168152,0.339810610631934,0.278816821429558
"1219",16,"Um Phang",NA,1,"Ia",4,0.500316060505178,0.927018712596664,0.68895090872313,0.776136616223296,0.146582625555578,0.278870415310696
"1226",844,"Upper Srepok Catchment","KBA",NA,NA,4,0.450350822812138,0.846824509691476,0.707903740500542,0.673393237975318,0.467275073627887,0.273150182087808
"1228",834,"Upper Stung Sen Catchment","KBA",NA,NA,4,0.281729472941575,0.763641740401232,0.768858916952899,0.697721394181279,0.529953210504553,0.320901237832872
"1250",195,"Virachey",NA,1,"II",4,0.63501994698673,0.902111779889866,0.682360620800849,0.854140337049565,0.296129597599713,0.432564694650183
"1292",678,"Wild Ass Wildlife Sanctuary","KBA",NA,NA,4,0.0416858840055361,0.689299186242136,0.797986065757216,0.789469003372537,0.506539034144562,0.00192829476732241
"1305",845,"Xe Pian","KBA",NA,NA,4,0.492175476617853,0.888656437462758,0.744999523255282,0.866254652591708,0.143127209522,0.41711866428108
"1308",1162,"Xishuangbanna","KBA",NA,NA,4,0.57212643188664,0.917440165434312,0.685234978713131,0.932440233137237,0.178128443303254,0.374147265851424
