,ID,SP_ID,Int_Name,Area_Rep,Area_GIS,PA_type,PA_DEF,IUCN_CAT,RealmNr,COUNTRY,ISO3,ODA_status,ODA,SR_B,Prop_SR_B,SR_M,Prop_SR_M,SR_A,Prop_SR_A,SR_R,Prop_SR_R,RSR_B,RSR_M,RSR_A,RSR_R,PE_WMean_B,PE_Max_B,PE_WMean_M,PE_Max_M,PE_WMean_A,PE_Max_A,PE_WMean_R,PE_Max_R,TO_PAbird,TO_PA_weightbird,TO_PAmammal,TO_PA_weightmammal,TO_PAamphibian,TO_PA_weightamphibian,TO_PAreptile,TO_PA_weightreptile,HFP_WMean,HFP_Max,HFPRisk_around,BaseCarbon_WMean,BaseCarbon_WSum,VulCarbon_WMean,VulCarbon_WSum,IrrCarbon_WMean,IrrCarbon_WSum,BII_WMean,BII_Max,BioAnth_WMean,BioAnth_Max,TreeCover_WMean,TreeCover_Max,BioCropRisk,CropRisk,PastureRisk
531,927,1070,Parque Nacional Natural Amacayacu,NA,2663.615387,KBA,NA,NA,6,Colombia,COL,Upper Middle Income Countries and Territories,yes,543,0.054948391,192,0.036398104,137,0.021473354,185,0.018382353,3.09E-07,3.33E-07,3.43E-06,6.12E-07,14.0141568,14.76826541,6.808523025,7.146267231,33.39296153,34.17762554,4.020907858,5.432593142,0.15377989,0.152828963,0.146618249,0.145655268,0.260923639,0.265500047,0.233062956,0.235714161,1.786630641,2.990219891,1.786630641,147.4400075,589.7378798,147.4160155,589.6255828,40.21041209,162.6705135,0.970392306,0.985650493,0.142120575,0.596298218,0.070921484,0.140033305,0,-0.000146206,-0.000762735
532,152,1352,Bosques Secos del Valle del Río Chicamocha,NA,3361.881421,KBA,NA,NA,6,Colombia,COL,Upper Middle Income Countries and Territories,yes,664,0.067192876,194,0.036777251,79,0.012382445,159,0.015798887,2.02E-06,1.22E-06,4.92E-05,1.15E-05,46.89725214,49.29963925,12.19050394,13.74285486,105.0838805,128.8610459,13.86915245,15.80456189,0.06103295,0.066344867,0.065550225,0.072766652,0.130442894,0.144310115,0.349979866,0.335413436,9.013605184,10.29542933,9.013605184,73.15231018,363.2868503,73.14828235,363.2671919,26.75904006,117.1764712,0.868478809,0.887087523,-0.007581008,1.628692628,0.038931736,0.262516618,0.000246741,0.043788756,-0.06821065
533,330,503,El Cocuy,3063.313366,3075.380352,IUCN,1,II,6,Colombia,COL,Upper Middle Income Countries and Territories,yes,651,0.065877353,218,0.041327014,50,0.007836991,116,0.011526232,1.28E-06,8.52E-07,1.69E-05,1.64E-06,40.40514615,44.44049909,11.81764361,13.41809259,58.50417709,70.9901838,8.320245086,9.493970467,0.093016558,0.090366174,0.084139969,0.088423155,0.126726532,0.137809347,0.410936241,0.395372278,5.738535536,6.006016077,5.738535536,69.61762884,261.6535681,69.6130591,261.6338871,23.43491667,74.35193805,0.853793206,0.864423852,1.189287795,2.466842644,-0.007505452,0.156483352,0.000128526,0.089423524,-0.019348049
534,1189,504,Tinigua,2143.615401,2153.181573,IUCN,1,II,6,Colombia,COL,Upper Middle Income Countries and Territories,yes,571,0.057781826,202,0.038293839,61,0.009561129,154,0.015302067,3.55E-07,4.90E-07,1.98E-06,1.04E-06,23.13533766,26.55523263,9.79451737,10.99577428,46.49209337,53.23490883,2.922130734,5.904811991,0.10558915,0.116318588,0.09131303,0.101277848,0.18357791,0.186055324,0.325405425,0.322922674,3.365078677,3.982913093,3.365078677,113.1447,470.0049004,113.1396671,469.9829648,32.54754289,142.8045686,0.900824605,0.925481364,11.08472573,20.45104985,0.011199381,0.192516625,6.06E-05,0.046517499,-0.013694457
535,364,1284,Farallones de Cali Natural National Park,NA,2070.010665,KBA,NA,NA,6,Colombia,COL,Upper Middle Income Countries and Territories,yes,642,0.064966606,191,0.036208531,135,0.021159875,157,0.015600159,2.25E-06,1.54E-06,2.56E-05,1.04E-05,90.26523613,90.81569912,16.2533438,17.4053186,211.7007114,226.7378312,33.24403724,50.68514461,0.112032827,0.100660406,0.072209445,0.068659175,0.172288226,0.245047045,0.328407116,0.365035924,9.728300449,10.58736634,9.728300449,107.4282175,459.9778298,107.4192155,459.904813,32.54905743,118.2748889,0.851704665,0.856495027,-1.936512767,0.039779663,0.007903987,0.326316714,2.37E-05,0.01471175,-0.015919051
536,1099,505,Sierra de la Macarena,6205.834712,6232.830927,IUCN,1,II,6,Colombia,COL,Upper Middle Income Countries and Territories,yes,690,0.069823922,234,0.04436019,70,0.010971787,177,0.01758744,5.37E-07,7.18E-07,2.48E-06,5.01E-06,18.43190081,30.26538065,7.739050719,11.59565994,25.90491299,53.23490883,4.575485181,13.65012402,0.077141456,0.070052619,0.067955994,0.061460422,0.150725746,0.164075574,0.290909936,0.297825762,3.637406132,5.905372068,3.637406132,113.9919159,982.3703776,113.9827238,982.2801077,34.73388521,293.7728127,0.908043146,0.945688391,2.82725577,7.183441159,0.075416233,0.301466644,1.33E-05,-0.001451531,-0.006304431
537,1085,502,Serrania de Chiribiquete,42680.95786,42852.96452,IUCN,1,II,6,Colombia,COL,Upper Middle Income Countries and Territories,yes,569,0.057579437,216,0.040947867,105,0.01645768,182,0.018084261,3.52E-07,4.49E-07,1.94E-06,2.38E-06,11.21406266,16.40742108,5.040555283,6.932550727,12.85623488,24.85571544,2.894980441,6.374080361,0.141038576,0.141661839,0.123506475,0.124716915,0.1866578,0.188758268,0.233627805,0.236121189,0.908244848,3.002352866,0.908244848,149.1473034,3922.535955,149.1410487,3922.293815,44.20548836,1150.673452,0.953199898,0.973465345,0.137692334,7.183441159,0.047965782,0.301466644,4.89E-10,-0.000301119,-0.000596394
538,1083,1311,Serranía de los Yariguíes,NA,2440.576599,KBA,NA,NA,6,Colombia,COL,Upper Middle Income Countries and Territories,yes,633,0.064055859,191,0.036208531,80,0.012539185,157,0.015600159,1.87E-06,1.16E-06,4.57E-05,8.33E-06,42.63182525,46.02259766,11.57504971,12.44727142,116.5534171,130.2291203,13.56689475,16.7064583,0.062606371,0.067143019,0.062136071,0.066276117,0.143660219,0.153276199,0.417517316,0.416148465,10.00933296,10.29542933,10.00933296,74.54700074,447.3139957,74.53975414,447.266771,15.71777016,87.93193231,0.893094923,0.934181123,-0.363529113,1.628692628,0.122977323,0.262516618,0.000237152,0.041780673,-0.064446964
539,244,507,Cordillera de los Picachos,2879.377817,2891.943817,IUCN,1,II,6,Colombia,COL,Upper Middle Income Countries and Territories,yes,707,0.071544222,233,0.044170616,65,0.010188088,152,0.015103339,6.61E-07,8.13E-07,1.82E-05,1.37E-06,33.75565131,37.25999476,12.29564659,12.81811634,58.5221825,62.68359582,3.576839752,8.128267453,0.039156479,0.049553909,0.033533134,0.045154043,0.13474488,0.138521218,0.373060454,0.384517237,4.049740388,7.044878233,4.049740388,113.1900346,439.4970744,113.1854195,439.478084,32.74390047,136.2491894,0.885657502,0.914277036,2.300667935,3.891036994,0.157852816,0.260733366,7.35E-05,0.069731871,-0.008416624
540,1039,506,Rio Pure,9876.742307,9924.329403,IUCN,1,II,6,Colombia,COL,Upper Middle Income Countries and Territories,yes,445,0.04503137,183,0.034691943,117,0.018338558,185,0.018382353,2.06E-07,2.95E-07,1.56E-06,4.16E-07,10.50680183,10.86843422,5.650197511,5.767717521,21.49529996,23.47787458,2.716077417,2.976868703,0.183869444,0.184212666,0.170797095,0.172252241,0.278621274,0.286491296,0.224114497,0.227575397,0.047333801,0.143860068,0.047333801,146.8961614,1025.017256,146.8782706,1024.882856,38.62843441,268.8747991,0.956571222,0.959924163,0.106894507,0.492218016,0.035907909,0.13441664,0,-2.87E-05,-0.000359215
