"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Large_size","Hig_SR_B","High_SR_M","High_SR_A","High_SR_R","High_SE_B","High_SE_M","High_SE_A","High_SE_R","High_ED_B","High_ED_M","High_ED_A","High_ED_R","High_CS_B","High_CS_M","High_CS_A","High_CS_R","Low_HFP","High_CaS","High_VCaS","High_ICaS","High_BII","Low_BTAC","Low_FCC","Low_BCrop","Low_Crop","Low_Pasture","Biodiversity","Wilderness","ClimateStability","LandUseStability","ClimateProtection","Size"
"723",649,"Mittlere Schwäbische Alb with Albuch, Härtsfeld","KBA",NA,NA,8,0.00769741567402312,0.261862911233397,0.256756752261383,0.266666659577778,0.0555555866172841,0.0113207547169811,0.0160263213755041,0.00257037397296643,0.00280075555266072,0.0341593241097516,0.0503926802570783,0.0217993293960625,0.00627151447888056,0.207565565332955,0.254760519640271,0.110880669721268,0.61822238549495,0.866886015503163,0.678836408880097,0.678822509286212,0.437082435158628,0.743958031974999,0.283784427297373,0.327530928435373,0,0.519004514917005,0.618412305157623,0.0985361560620072,0.337764385940258,0.759247055540383,0.538432680672898,0.650672608862574,0.630326416447795
"730",214,"Mongol Els","IUCN",1,"II",8,0.00833017160781454,0.291739896657899,0.261261269609813,0,0.0763889053904322,0.0679245283018868,0.0305667586499682,NA,0.00239366898977399,0.0530566778648839,0.060184117982753,0,0.005780309385922,0.179987828830613,0.264448999992,0.126248411850519,0.266911610164502,0.117246305715408,0.0187650054424058,0.0187428439424013,1.16095957209458e-07,0.127036026697715,0.361245613408255,0.350520948846574,0,0.476115772202529,0.55562963073115,0.0905279809000085,0.373520564616619,0.846033705683869,0.613016954999149,0.0135982857403285,0.636325853875147
"734",635,"Mooteh Protected Area","KBA",NA,NA,8,0.00646350524105877,0.147627407332934,0.247747741325785,0.033333372322221,0.423611094609568,0.0990566037735849,0.0256845680322649,0.00125464323726149,0.017211619878851,0.0406525364456269,0.0830888137393428,0.000879944869186134,0.124129567438001,0.390854171662807,0.499072246999864,0.401621198198369,0.205444076797155,0.437892717066235,0.0158324826971504,0.0158134862924421,0,0.599220810746295,0.3634274923999,0.278613508090157,4.04649035675539e-06,0.483461613237903,0,0.133169796587136,0.470168301935339,0.683064513451271,1,0.0114730544121553,0.617058663292279
"746",1177,"Mount Velebit","KBA",NA,NA,8,0.00633936712542695,0.307557105846658,0.324324322397736,0.233333287255557,0.222222206691358,0.0537735849056604,0.0362980258968372,0.0174310827289195,0.0563733472285547,0.0690129314842424,0.101640822131423,0.150495872046256,0.216703919454309,0.274437262369837,0.225465841893014,0.11876839454046,0.227068322567717,0.480508907364204,0.545759975328991,0.545611228196052,0.446255305804426,0.713511520459435,0.328562827807114,0.30200030815553,0.00784881701236165,0.518721357730789,0.710084558703548,0.206288142248325,0.539109201755959,0.862421211968608,0.46838925781774,0.557457179235409,0.615586005128986
"747",1188,"Mountain ranges south of Jén","KBA",NA,NA,8,0.00635275013629275,0.265377846608677,0.198198193060628,0.216666707427777,0.180555569145062,0.0811320754716981,0.0406495436213118,0.037754423557219,0.0976247856010769,0.0749900455315093,0.0764938160342059,0.0963855098369008,0.175179577808277,0.411133688591468,0.582385873421344,0.483824815453031,0.494363036380186,0.581863696073104,0.134418566191842,0.134392803005011,0.00424417166248321,0.572195016259021,0.472421142855908,0.0551422675809631,0.0479280060651546,0.176007993746463,0.695662521397341,0.172987880718636,0.288988091592837,0.469203874915973,0.692171697290846,0.0989946327397955,0.615746148658095
"751",1201,"Msseyed","KBA",NA,NA,8,0.0109960506252494,0.154657278083494,0.18918918212503,0.066666638311112,0.375000017472222,0.0811320754716981,0.0984928889832307,0.0175485586874646,0.0314053713715018,0.0646685972912068,0.124546668481142,0.00297048799096754,0.304705071410363,0.385551600946144,0.374836602828494,0.31883429314006,0.201980551033848,0.168972824336423,0.566193338641404,0.56622642029948,0.158880885878576,0.53557007331438,0.360554274481082,0.283230903111083,4.64201157907033e-07,0.477842321996296,0.743984178614651,0.168958805390718,0.604856047425186,0.743132299317905,0.478854891698789,0.468153228783648,0.65741234847232
"752",708,"Mugodzhary","KBA",NA,NA,8,0.00742526866224089,0.202108957751706,0.19369369947346,0.033333372322221,0.166666689962963,0.0245283018867925,0.0189980895775844,0.00125464323726149,0.00456479732516989,0.0337176386037414,0.0471000766771858,0.00103558971568613,0.0267072975405172,0.42497745795472,0.56052499918643,0.288072413080697,0.127793788241184,0.252897628730022,0.0394822475255926,0.0394305803956983,1.26598077564803e-05,0.109249108094463,0.389765537070969,0.434575280867567,0,0.474963822833083,0.853528938538454,0.0673406043246161,0.255776471108118,0.661521411379432,0.403568771316725,0.0286139576108116,0.627592834426156
"753",1302,"Muli (Ma'an Shan)","KBA",NA,NA,8,0.00869632169003248,0.564147631384447,0.554054041852325,0.34999998405,0.423611094609568,0.44811320754717,0.101040118870728,0.125978868424577,0.0248648472611216,0.447566096226402,0.515329952940348,0.273364126451545,0.21607179537526,0.483313587649272,0.483600836598744,0.356751608803732,0.330763368959531,0.331074996006098,0.516811743296616,0.516806360021614,0.0871318798423208,0.801530957154237,0.262052281821455,0.200316763009687,0,0.482911130250036,0.749036119081395,0.508882217050558,0.735802508196463,0.610535857507065,0.471711861944183,0.406321119238028,0.639592662737168
"754",1109,"Muna-Besyuke","KBA",NA,NA,8,0.0175242018534538,0.158172230826085,0.121621611988678,0.033333372322221,0,0.0424528301886792,0.00626194014009764,0.000271369464239143,NA,0.00862260898238411,0.00800553262677419,0.00196506744360085,NA,0.313645411185606,0.205419338995404,0.180558839744227,1,0.0260193616120067,0.203473640606922,0.19049906618316,0.0345913172379654,0.960708699025841,0.349671824803838,0.328587355729038,0,0.476170790253297,0.741473292689523,0.0275049284023273,0.979507176982975,0.621545065584002,0.4818072246688,0.155373291567817,0.692808789468838
"756",215,"Munkhkhairkhan uul-Uenchiin khavtsal","IUCN",1,"II",8,0.0153625344602512,0.291739896657899,0.297297289590942,0,0.131944422118827,0.0839622641509434,0.0600721715134791,NA,0.00470049284613214,0.0535133914605904,0.0603926358636612,NA,0.00801810621372079,0.218869062374542,0.260245900541741,0.40764329191159,0.211396450597289,0.187869945757169,0.026047151773398,0.0260245271861429,0.000694665572436382,0.1726681470266,0.373205157343036,0.432300081849002,0,0.47591704509777,0.571621607783158,0.125882082723763,0.349609741561994,0.744311359355312,0.601869871724989,0.0191301186620326,0.68280960425151
