"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Large_size","Hig_SR_B","High_SR_M","High_SR_A","High_SR_R","High_SE_B","High_SE_M","High_SE_A","High_SE_R","High_ED_B","High_ED_M","High_ED_A","High_ED_R","High_CS_B","High_CS_M","High_CS_A","High_CS_R","Low_HFP","High_CaS","High_VCaS","High_ICaS","High_BII","Low_BTAC","Low_FCC","Low_BCrop","Low_Crop","Low_Pasture","Biodiversity","Wilderness","ClimateStability","LandUseStability","ClimateProtection","Size"
"449",657,"Hutan Rawa Gambut Siak-Kampar","KBA",NA,NA,4,0.167155425210973,0.403017242939897,0.613636372491606,0.304347838147448,0.556212977581458,0.072198275862069,0.030388151174668,0.0269868203900421,0.0423437857633326,0.225209798701567,0.318015658884512,0.0933047428805961,0.0459765548342982,0.302235291707896,0.38763373686331,0.359569764958345,0.112454433166362,0.180522776013764,0.378654827150693,0.378557204627931,0.125575169363954,0.814890522907999,0.626413506391698,0.526275947828535,0.127328156738329,0.15427616023738,0.412346466902987,0.305477219660813,0.663981574103051,0.71131102170764,0.627133938863237,0.296641914247098,0.367913767934486
"477",656,"Jamuna-Brahmaputra river","KBA",NA,NA,4,0.0780057800068707,0.327586212037307,0.431818182499354,0.271739104052458,0.443786962868247,0.0219109195402299,0.0233231188287368,0.0105529857511448,0.022064545662623,0.0620935974024619,0.0846219883907579,0.0626228222703053,0.0125614386275483,0.193841547506795,0.176211617472234,0.057813660407103,0.373470048404078,0.843290460022713,0.126713459186792,0.126679368851892,0.0121533556303148,0,0.276170187481867,0.473656902187715,0.102860689338775,0,0,0.180090796208911,0,0.840329409379084,1,0.0892297840274393,0.205824484993786
"481",679,"Jawaharlal Nehru Bustard Sanctuary","KBA",NA,NA,4,0.70835489979785,0.237068966435233,0.255681826866768,0.184782618494801,0.136094636852772,0.0298132183908046,0.00723527408920668,0.00864693986657679,0.066147859922179,0.0426470929862442,0.0340118704870311,0.0189515752903385,0.0156932455210799,0.275290448203374,0.197811221262738,0.148877471207464,0.28212373713975,0.862098446346991,0.0103899910600368,0.0103417688313016,0.000124341395674876,0.543976218135655,0.237593231527086,0.667630760101547,0.955605761537367,0.378605321181536,0.100163175847702,0.0834056241358996,0.332013015925003,0.706290541621736,0.160066757175876,0.00700632545334395,0.856520374176858
"492",246,"Kaengkrachan Forest Complex","IUCN",1,"II",4,0.0958460230811491,0.622844824189637,0.653409093122902,0.478260878610586,0.544378666511677,0.0682471264367816,0.0469016002723868,0.175054043374166,0.306019684138247,0.1919650147326,0.317029759844901,0.32971663806956,0.251259377688063,0.319670258333296,0.270135918544136,0.240236453121862,0.318162515935013,0.30614569681214,0.411742915779195,0.411665033221499,0.0451115759786948,0.885973962826463,0.306563738604375,0.533640913637626,0.00753371098257845,0.394422210190644,0.111978952544948,0.469711904104436,0.820233849818433,0.711126792955451,0.740689933090731,0.291847532437535,0.242833256867226
"504",653,"Kanchenjungha Conservation Area","KBA",NA,NA,4,0.0150326589389583,0.900862072453887,0.772727255016787,0.369565167641778,0.325443792620146,0.186781609195402,0.136874361593463,0.286395016387346,0.624628061341268,0.207418387227881,0.327930817002833,0.218997362797282,0.0414590053257252,0.588576200089864,0.518436648396714,0.0950069156728195,0.514957999012042,0.245530529398083,0.226751304202305,0.226745001030559,0.0938277521972192,0.506447317543778,0.225051086646931,1,0.0136595465360176,0.332717430001731,0.0775747862368708,0.523956283685557,0.680419795741714,0.266574449199315,0.797452258252803,0.183915891060263,0.046965683297577
"520",296,"Kayan Mentarang","IUCN",1,"II",4,0.881248213316167,0.523706896643523,0.835227253143563,0.858695624284027,0.710059140589195,0.378591954022989,0.136874361593463,0.518839636456614,0.152666514076448,0.39004535682009,0.738870669563178,0.540122864063843,0.119928933785557,0.040139961757374,0.0519677032453902,0.204985383807207,0.0417589379067032,0.0417593976998319,0.932196427723568,0.932208429022347,0.894609147050194,0.761551167612607,0.238712131694123,0.421087365902629,0.00523350230722537,0.0916756289243246,0.492590651784093,0.721091378364084,0.94262482217917,0.949016019919631,0.693022766359007,0.927112325151449,0.94653847594197
"523",1289,"Kelabit Highlands","KBA",NA,NA,4,0.154989024326902,0.48491380659793,0.829545448755488,1,0.721893451658976,0.392959770114943,0.16241062308478,0.642035285093327,0.317006179903868,0.428050928768095,0.855746725164941,1,0.323305513873699,0.120886101209691,0.0982108835374921,0.326848343623954,0.0571996795966724,0.0539849740548926,0.97652230645562,0.976535480787981,1,0.821228684712966,0.227139824110784,0.759561886273219,0,0.0996762001593096,0.502414622869751,0.885429578887912,0.977386659841944,0.743223212172462,0.685080201361242,0.992317056109643,0.348706551597866
"528",299,"Kerinci Seblat","IUCN",1,"II",4,0.94929947539999,0.618534483217617,0.721590895637752,0.576086942199906,0.639053214620217,0.24066091954023,0.244977868573374,0.507217405453151,0.340810254062715,0.387537038864074,0.670704371463046,0.29801732912187,0.0670632821752103,0.958778663360933,1,0.677500373771263,0.12169670581065,0.348420031012493,0.708987409264252,0.708972706395784,0.54499451495098,0.76851443555706,0.351310614297454,0.619456485628066,0.152389879883736,0.191235133143834,0.587580758140432,0.643605689594769,0.699806628944022,0.175451946266032,0.47747091217274,0.659611680023448,0.977883850973563
"529",833,"Khammouan Limestone","KBA",NA,NA,4,0.0126870059728797,0.624999994675647,0.857954530639043,0.630434763010397,0.467455585007808,0.123563218390805,0.225400068096697,0.100206875711862,0.78484779125658,0.195599031111672,0.7876569211834,0.197471529329885,0.201149521974571,0.197926391866335,0.297871909837621,0.0731969123806368,0.373497919897949,0.330459363621084,0.454686949446606,0.454675315382896,0.0797593916682353,0.894069014372102,0.290111000231938,0.569249189584732,0.0720001190199718,0.300945539934912,0.114648202274912,0.628470297756902,0.820371734666494,0.75231271062192,0.757306130289129,0.33237359000519,0.0399270594883011
"534",681,"Khangchendzonga National Park and Biosphere Reserve","KBA",NA,NA,4,0.0459292466897708,0.911637924883936,0.744318173133232,0.347826080926276,0.337278103689927,0.200431034482759,0.147940074906367,0.293368354989424,0.688715953307393,0.220920381536973,0.377468565675203,0.337117881889846,0.096330859028844,0.399899369026811,0.339560768069863,0.14971289780674,0.502901805433433,0.256949761247178,0.253532820430154,0.253529175537591,0.0974044345646074,0.610930012764129,0.234627600180071,0.641084206243385,0.00356637858839148,0.266808928505491,0.0837912704600213,0.563823710825804,0.729588736972003,0.57468266979686,0.841473512168758,0.203117501120883,0.131323348136307
